experiment_name,fold,status,start_time_utc,end_time_utc,duration_minutes,model,model_revision,method,balancing,train_file,validation_file,test_file,train_total,train_trace,train_no_trace,validation_total,validation_trace,validation_no_trace,test_total,test_trace,test_no_trace,output_dir,best_model_dir,metrics_file,predictions_file,accuracy,trace_precision,trace_recall,trace_f1,no_trace_precision,no_trace_recall,no_trace_f1,valid_predictions,invalid_predictions,confusion_matrix,notes
Gemma 2 9B QLoRA random oversampling 10-fold CV,fold_01,completed,2026-09-19T09:53:13.148902+00:00,2026-09-19T10:10:40.847753+00:00,17.462,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_01/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_01/validation.jsonl,gemma_traceability/data/folds/fold_01/test.jsonl,1830,915,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_01,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_01/best_model,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_01/fold_01_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_01/fold_01_predictions.csv,0.91005291005291,0.8831168831168831,0.8947368421052632,0.8888888888888888,0.9285714285714286,0.9203539823008849,0.9244444444444444,189,0,"[[68, 8], [9, 104]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Gemma 2 9B QLoRA random oversampling 10-fold CV,fold_02,completed,2026-09-19T11:40:58.747032+00:00,2026-09-19T11:58:25.520661+00:00,17.446,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_02/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_02/validation.jsonl,gemma_traceability/data/folds/fold_02/test.jsonl,1830,915,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_02,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_02/best_model,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_02/fold_02_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_02/fold_02_predictions.csv,0.9523809523809523,0.935064935064935,0.9473684210526315,0.9411764705882353,0.9642857142857143,0.9557522123893806,0.96,189,0,"[[72, 4], [5, 108]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Gemma 2 9B QLoRA random oversampling 10-fold CV,fold_03,completed,2026-09-19T11:58:25.521899+00:00,2026-09-19T12:15:57.166090+00:00,17.527,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_03/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_03/validation.jsonl,gemma_traceability/data/folds/fold_03/test.jsonl,1830,915,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_03,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_03/best_model,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_03/fold_03_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_03/fold_03_predictions.csv,0.8835978835978836,0.8970588235294118,0.8026315789473685,0.8472222222222222,0.8760330578512396,0.9380530973451328,0.905982905982906,189,0,"[[61, 15], [7, 106]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Gemma 2 9B QLoRA random oversampling 10-fold CV,fold_04,completed,2026-09-19T12:15:57.167471+00:00,2026-09-19T12:33:28.395605+00:00,17.52,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_04/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_04/validation.jsonl,gemma_traceability/data/folds/fold_04/test.jsonl,1830,915,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_04,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_04/best_model,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_04/fold_04_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_04/fold_04_predictions.csv,0.9206349206349206,0.8588235294117647,0.9605263157894737,0.906832298136646,0.9711538461538461,0.8938053097345132,0.9308755760368663,189,0,"[[73, 3], [12, 101]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Gemma 2 9B QLoRA random oversampling 10-fold CV,fold_05,completed,2026-09-19T12:33:28.396904+00:00,2026-09-19T12:50:57.247737+00:00,17.481,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_05/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_05/validation.jsonl,gemma_traceability/data/folds/fold_05/test.jsonl,1830,915,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_05,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_05/best_model,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_05/fold_05_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_05/fold_05_predictions.csv,0.9259259259259259,0.918918918918919,0.8947368421052632,0.9066666666666666,0.9304347826086956,0.9469026548672567,0.9385964912280702,189,0,"[[68, 8], [6, 107]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Gemma 2 9B QLoRA random oversampling 10-fold CV,fold_06,completed,2026-09-19T12:50:57.249133+00:00,2026-09-19T13:08:28.479296+00:00,17.521,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_06/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_06/validation.jsonl,gemma_traceability/data/folds/fold_06/test.jsonl,1830,915,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_06,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_06/best_model,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_06/fold_06_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_06/fold_06_predictions.csv,0.9259259259259259,0.9305555555555556,0.881578947368421,0.9054054054054054,0.9230769230769231,0.9557522123893806,0.9391304347826087,189,0,"[[67, 9], [5, 108]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Gemma 2 9B QLoRA random oversampling 10-fold CV,fold_07,completed,2026-09-19T13:08:28.480709+00:00,2026-09-19T13:25:59.511609+00:00,17.517,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_07/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_07/validation.jsonl,gemma_traceability/data/folds/fold_07/test.jsonl,1830,915,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_07,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_07/best_model,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_07/fold_07_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_07/fold_07_predictions.csv,0.873015873015873,0.8513513513513513,0.8289473684210527,0.84,0.8869565217391304,0.9026548672566371,0.8947368421052632,189,0,"[[63, 13], [11, 102]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Gemma 2 9B QLoRA random oversampling 10-fold CV,fold_08,completed,2026-09-19T13:25:59.512906+00:00,2026-09-19T13:43:27.662013+00:00,17.469,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_08/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_08/validation.jsonl,gemma_traceability/data/folds/fold_08/test.jsonl,1830,915,915,170,68,102,188,75,113,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_08,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_08/best_model,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_08/fold_08_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_08/fold_08_predictions.csv,0.9308510638297872,0.8974358974358975,0.9333333333333333,0.9150326797385621,0.9545454545454546,0.9292035398230089,0.9417040358744395,188,0,"[[70, 5], [8, 105]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Gemma 2 9B QLoRA random oversampling 10-fold CV,fold_09,completed,2026-09-19T13:43:27.663321+00:00,2026-09-19T14:00:56.675398+00:00,17.484,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_09/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_09/validation.jsonl,gemma_traceability/data/folds/fold_09/test.jsonl,1830,915,915,170,68,102,188,75,113,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_09,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_09/best_model,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_09/fold_09_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_09/fold_09_predictions.csv,0.9521276595744681,0.9852941176470589,0.8933333333333333,0.9370629370629371,0.9333333333333333,0.9911504424778761,0.9613733905579399,188,0,"[[67, 8], [1, 112]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Gemma 2 9B QLoRA random oversampling 10-fold CV,fold_10,completed,2026-09-19T14:00:56.676707+00:00,2026-09-19T14:18:24.060129+00:00,17.456,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_10/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_10/validation.jsonl,gemma_traceability/data/folds/fold_10/test.jsonl,1830,915,915,170,68,102,188,75,113,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_10,gemma_traceability/outputs/gemma_2_9b_qlora_oversampling/fold_10/best_model,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_10/fold_10_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_oversampling/fold_10/fold_10_predictions.csv,0.9095744680851063,0.881578947368421,0.8933333333333333,0.8874172185430463,0.9285714285714286,0.9203539823008849,0.9244444444444444,188,0,"[[67, 8], [9, 104]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
